thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome,calibration_tag,diagnostic_noise,thermoreg_reading_fahrenheit
52.6,97.0,3.6,-3.5,c2,2.0,0,1,a,0.4820884091527393,34.742453717789886
41.8,105.0,3.4000000000000004,10.5,c1,2.0,0,0,a,,
56.2,126.0,5.5,9.6,c2,5.0,0,0,a,-0.747352283479433,38.75406076225811
57.7,106.0,-4.1000000000000005,-4.0,c1,4.0,0,1,a,0.5704775648537789,40.46508244752093
34.5,73.0,2.3000000000000003,0.3,c4,5.0,1,1,a,-0.310844030276356,
39.7,69.0,-1.2000000000000002,5.1000000000000005,c4,2.0,1,0,a,1.416905769285914,20.28038443823914
51.2,94.0,-1.7000000000000002,3.8,c2,3.0,1,1,a,-1.3471864659603288,33.150563628505566
47.6,113.0,0.4,-4.4,c5,3.0,1,1,a,-0.5544779770462672,
50.0,80.0,-2.6,,c3,,1,0,a,-0.8201938884998609,31.8487895824614
43.3,71.0,0.4,-2.0,c4,3.0,1,0,a,0.2806745894613568,24.32260465183778
57.2,70.0,-2.5,-4.9,c4,2.0,1,1,a,-0.7004690298097328,39.914581773765455
56.400000000000006,128.0,3.5,0.8,c1,1.0,0,1,a,0.9306181388595776,39.00012741886054
50.7,93.0,2.1,-0.2,c4,5.0,0,1,a,1.8382366692724104,32.59427627805094
59.2,82.0,0.2,-0.6000000000000001,c1,5.0,1,1,a,-0.0491815806117122,
53.900000000000006,129.0,,-1.8,c5,4.0,0,1,a,0.4245924662982158,
,86.0,3.1,7.2,c2,2.0,0,0,a,-0.5573988169282686,24.266367834050858
53.1,84.0,4.3,-1.3,c3,,0,0,a,1.1043480398738683,35.31875705674249
42.5,110.0,3.9,5.9,c1,2.0,0,1,a,-0.8351678088329629,
57.2,102.0,5.5,-1.3,c1,5.0,1,1,a,-0.1431810750171375,
49.8,56.0,1.0,0.2,c1,2.0,1,1,a,0.4434313928167315,31.550666801123725
48.7,122.0,1.8,4.4,c1,,1,0,a,-0.9998483283877873,30.336238728092656
,67.0,0.5,1.2000000000000002,c2,4.0,1,0,a,0.6949690112158986,25.871634100364528
,197.0,3.5,0.1,c1,3.0,1,0,a,-0.2052571705822108,43.00287204806627
48.900000000000006,85.0,-2.2,-2.3000000000000003,c5,4.0,0,1,a,0.3194506804771708,30.609234661380786
46.7,39.0,2.4000000000000004,7.5,c4,3.0,0,1,a,-0.3674815576518863,28.145049600532037
,141.0,4.9,0.2,c2,3.0,1,0,a,-1.2293308666422602,28.83079804560593
54.400000000000006,105.0,7.9,7.800000000000001,c4,5.0,,0,a,0.6572941669849693,
53.1,111.0,4.6000000000000005,,c2,2.0,0,0,a,0.1754986784317391,35.288996579276706
53.5,115.0,0.5,-2.8000000000000003,c5,1.0,1,1,a,0.1508964061944079,35.7145935043639
53.6,68.0,-1.8,4.2,c3,3.0,1,1,b,-0.3712140809024122,35.87738902707095
,69.0,1.5,8.5,c3,3.0,0,0,a,0.5287751885497837,51.27482840783415
46.900000000000006,146.0,2.2,4.9,c1,3.0,0,0,a,-0.4277951819003524,
46.1,50.0,1.4,,c3,3.0,0,0,a,0.1685825189086283,27.38981543835617
43.6,132.0,-0.3,-9.2,c3,3.0,,0,a,1.59571438970044,
55.1,121.0,3.0,-4.6000000000000005,c1,3.0,0,1,a,-0.3691784603303246,37.54381480317946
59.2,119.0,5.0,2.4000000000000004,c1,5.0,0,0,a,0.433770034487732,42.160750634488025
49.2,85.0,5.7,0.6000000000000001,c4,1.0,1,1,a,-0.4152535390656947,30.974472881106124
43.400000000000006,150.0,2.8000000000000003,3.5,c5,5.0,1,1,a,0.3033523906066593,24.438591707337245
43.6,69.0,5.9,-8.5,c3,3.0,1,0,a,-0.2203899093441017,
55.400000000000006,90.0,-0.7000000000000001,0.4,c1,1.0,1,1,a,0.7655626648143243,
56.1,127.0,,-2.6,c2,1.0,1,1,,-0.6007059332175372,38.68928754083098
54.5,88.0,-1.6,-5.300000000000001,,3.0,0,1,a,-0.3646401824358776,36.88838841474676
44.8,63.0,6.800000000000001,12.4,,4.0,0,0,a,1.588372744162563,26.010412634401757
52.0,101.0,0.0,-2.9000000000000004,c1,3.0,0,1,a,0.1770676449519227,34.08945190760048
51.1,119.0,4.7,-4.3,c1,3.0,1,1,a,1.750224986992417,33.05017228226655
51.900000000000006,,5.7,5.300000000000001,c2,2.0,0,0,a,,33.968197370561114
57.1,167.0,4.7,4.1000000000000005,c3,3.0,1,0,a,-1.0730601338023549,
,54.0,3.3000000000000003,0.5,c4,5.0,1,1,a,-0.0552154240038356,34.01235993897214
55.6,304.9924704577469,3.1,11.0,c2,3.0,0,0,a,0.3947143893051731,38.11022206764705
50.7,73.0,5.800000000000001,4.4,c1,4.0,0,1,a,-0.2089853435932439,32.608211625400024
52.5,78.0,-1.0,1.8,c1,1.0,1,1,,-1.38113308899024,34.60207458820986
55.2,93.0,-4.4,-4.1000000000000005,c3,3.0,0,1,,-1.6789092813166897,37.68159403254686
38.5,63.0,3.7,7.1000000000000005,c1,4.0,0,1,a,1.7412030333156825,18.885597621299
47.6,66.0,4.800000000000001,1.2000000000000002,c3,4.0,0,0,a,-0.8103631268827923,29.12295905278429
46.400000000000006,30.0,-2.6,-8.4,c2,3.0,0,0,a,0.4608458277924674,27.76664611136484
45.0,129.0,2.3000000000000003,3.6,c2,3.0,0,0,a,0.9219288238778692,26.250099365809923
48.0,120.0,-2.0,-2.1,c1,1.0,1,1,a,0.8575285672087457,29.523719738959848
62.1,119.0,4.1000000000000005,5.300000000000001,c4,2.0,0,0,a,-3.149036728374814,45.45447180110956
,61.0,4.9,0.1,c3,4.0,0,0,a,-1.596569573704003,24.207519958760813
,,2.6,,c2,4.0,1,0,a,-1.3627466602510696,
36.7,75.0,-2.3000000000000003,-10.4,c2,1.0,0,0,a,0.5375396465941884,16.85417205545776
47.5,79.0,6.6000000000000005,2.1,c2,5.0,0,0,a,-0.5471478131308604,28.986034730128026
51.5,57.0,2.0,,c2,5.0,0,1,a,-1.326178288021169,
54.900000000000006,121.0,0.5,1.0,c4,2.0,1,1,a,0.538217160959557,37.27600098223351
55.900000000000006,100.0,5.1000000000000005,0.8,c2,1.0,,1,a,0.6970309885561763,38.40103921813569
56.5,117.0,3.7,-4.2,c1,2.0,0,1,a,-0.011407583203755,39.140125116799325
47.400000000000006,99.0,-1.7000000000000002,-5.5,c5,5.0,1,1,a,-1.4045119386716989,28.861474349764062
